Geneid,module,Ensembl,gene_symbol,gene_type
ENSG00000198964.16,Module 4,ENSG00000198964,SGMS1,protein_coding
ENSG00000183918.19,Module 1,ENSG00000183918,SH2D1A,protein_coding
ENSG00000180104.18,Module 4,ENSG00000180104,EXOC3,protein_coding
ENSG00000010017.15,Module 4,ENSG00000010017,RANBP9,protein_coding
ENSG00000125910.6,Module 2,ENSG00000125910,S1PR4,protein_coding
ENSG00000172197.13,Module 3,ENSG00000172197,MBOAT1,protein_coding
ENSG00000133812.20,Module 2,ENSG00000133812,SBF2,protein_coding
ENSG00000154310.19,Module 6,ENSG00000154310,TNIK,protein_coding
ENSG00000184557.6,Module 2,ENSG00000184557,SOCS3,protein_coding
ENSG00000099985.5,Module 2,ENSG00000099985,OSM,protein_coding
ENSG00000107130.12,Module 1,ENSG00000107130,NCS1,protein_coding
ENSG00000151689.15,Module 1,ENSG00000151689,INPP1,protein_coding
ENSG00000198142.5,Module 6,ENSG00000198142,SOWAHC,protein_coding
ENSG00000198887.11,Module 4,ENSG00000198887,SMC5,protein_coding
ENSG00000103365.18,Module 3,ENSG00000103365,GGA2,protein_coding
ENSG00000155307.21,Module 2,ENSG00000155307,SAMSN1,protein_coding
ENSG00000109452.15,Module 3,ENSG00000109452,INPP4B,protein_coding
ENSG00000120008.17,Module 1,ENSG00000120008,WDR11,protein_coding
ENSG00000135426.18,Module 1,ENSG00000135426,TESPA1,protein_coding
ENSG00000099377.16,Module 2,ENSG00000099377,HSD3B7,protein_coding
ENSG00000100320.26,Module 4,ENSG00000100320,RBFOX2,protein_coding
ENSG00000196526.13,Module 2,ENSG00000196526,AFAP1,protein_coding
ENSG00000149212.13,Module 2,ENSG00000149212,SESN3,protein_coding
ENSG00000121594.14,Module 2,ENSG00000121594,CD80,protein_coding
ENSG00000198885.12,Module 3,ENSG00000198885,ITPRIPL1,protein_coding
ENSG00000135298.16,Module 4,ENSG00000135298,ADGRB3,protein_coding
ENSG00000134198.12,Module 2,ENSG00000134198,TSPAN2,protein_coding
ENSG00000120896.16,Module 3,ENSG00000120896,SORBS3,protein_coding
ENSG00000103876.16,Module 2,ENSG00000103876,FAH,protein_coding
ENSG00000134308.16,Module 3,ENSG00000134308,YWHAQ,protein_coding
ENSG00000157800.20,Module 2,ENSG00000157800,SLC37A3,protein_coding
ENSG00000025708.16,Module 1,ENSG00000025708,TYMP,protein_coding
ENSG00000163975.16,Module 4,ENSG00000163975,MELTF,protein_coding
ENSG00000121039.12,Module 2,ENSG00000121039,RDH10,protein_coding
ENSG00000152270.12,Module 5,ENSG00000152270,PDE3B,protein_coding
ENSG00000198157.13,Module 3,ENSG00000198157,HMGN5,protein_coding
ENSG00000101986.14,Module 1,ENSG00000101986,ABCD1,protein_coding
ENSG00000100612.16,Module 2,ENSG00000100612,DHRS7,protein_coding
ENSG00000167315.20,Module 2,ENSG00000167315,ACAA2,protein_coding
ENSG00000166446.17,Module 2,ENSG00000166446,CDYL2,protein_coding
ENSG00000140511.14,Module 2,ENSG00000140511,HAPLN3,protein_coding
ENSG00000138795.12,Module 5,ENSG00000138795,LEF1,protein_coding
ENSG00000134330.20,Module 1,ENSG00000134330,IAH1,protein_coding
ENSG00000101096.22,Module 1,ENSG00000101096,NFATC2,protein_coding
ENSG00000136295.18,Module 1,ENSG00000136295,TTYH3,protein_coding
ENSG00000148481.16,Module 2,ENSG00000148481,MINDY3,protein_coding
ENSG00000137193.16,Module 2,ENSG00000137193,PIM1,protein_coding
ENSG00000110880.13,Module 3,ENSG00000110880,CORO1C,protein_coding
ENSG00000109320.16,Module 4,ENSG00000109320,NFKB1,protein_coding
ENSG00000116717.14,Module 1,ENSG00000116717,GADD45A,protein_coding
ENSG00000276045.5,Module 2,ENSG00000276045,ORAI1,protein_coding
ENSG00000105639.22,Module 2,ENSG00000105639,JAK3,protein_coding
ENSG00000028310.20,Module 4,ENSG00000028310,BRD9,protein_coding
ENSG00000145675.18,Module 2,ENSG00000145675,PIK3R1,protein_coding
ENSG00000100167.21,Module 4,ENSG00000100167,SEPTIN3,protein_coding
ENSG00000138785.18,Module 4,ENSG00000138785,INTS12,protein_coding
ENSG00000065989.18,Module 3,ENSG00000065989,PDE4A,protein_coding
ENSG00000196155.15,Module 1,ENSG00000196155,PLEKHG4,protein_coding
ENSG00000102743.18,Module 2,ENSG00000102743,SLC25A15,protein_coding
ENSG00000127561.18,Module 2,ENSG00000127561,SYNGR3,protein_coding
ENSG00000123472.15,Module 1,ENSG00000123472,ATPAF1,protein_coding
ENSG00000161513.14,Module 1,ENSG00000161513,FDXR,protein_coding
ENSG00000133597.13,Module 2,ENSG00000133597,ADCK2,protein_coding
ENSG00000136717.17,Module 2,ENSG00000136717,BIN1,protein_coding
ENSG00000164733.25,Module 1,ENSG00000164733,CTSB,protein_coding
ENSG00000166503.12,Module 3,ENSG00000166503,HDGFL3,protein_coding
ENSG00000115902.13,Module 1,ENSG00000115902,SLC1A4,protein_coding
ENSG00000111859.19,Module 2,ENSG00000111859,NEDD9,protein_coding
ENSG00000101974.16,Module 3,ENSG00000101974,ATP11C,protein_coding
ENSG00000117676.16,Module 2,ENSG00000117676,RPS6KA1,protein_coding
ENSG00000113356.15,Module 4,ENSG00000113356,POLR3G,protein_coding
ENSG00000093010.17,Module 2,ENSG00000093010,COMT,protein_coding
ENSG00000155330.11,Module 4,ENSG00000155330,C16orf87,protein_coding
ENSG00000059804.20,Module 2,ENSG00000059804,SLC2A3,protein_coding
ENSG00000136810.15,Module 2,ENSG00000136810,TXN,protein_coding
ENSG00000158234.15,Module 2,ENSG00000158234,FAIM,protein_coding
ENSG00000026103.26,Module 2,ENSG00000026103,FAS,protein_coding
ENSG00000149600.14,Module 2,ENSG00000149600,COMMD7,protein_coding
ENSG00000121578.15,Module 2,ENSG00000121578,B4GALT4,protein_coding
ENSG00000064309.18,Module 6,ENSG00000064309,CDON,protein_coding
ENSG00000108370.19,Module 4,ENSG00000108370,RGS9,protein_coding
ENSG00000167815.14,Module 3,ENSG00000167815,PRDX2,protein_coding
ENSG00000142875.23,Module 3,ENSG00000142875,PRKACB,protein_coding
ENSG00000124496.15,Module 3,ENSG00000124496,TRERF1,protein_coding
ENSG00000123159.18,Module 2,ENSG00000123159,GIPC1,protein_coding
ENSG00000163412.15,Module 6,ENSG00000163412,EIF4E3,protein_coding
ENSG00000123989.17,Module 2,ENSG00000123989,CHPF,protein_coding
ENSG00000143061.20,Module 2,ENSG00000143061,IGSF3,protein_coding
ENSG00000006282.24,Module 2,ENSG00000006282,SPATA20,protein_coding
ENSG00000135454.16,Module 3,ENSG00000135454,B4GALNT1,protein_coding
ENSG00000082458.14,Module 2,ENSG00000082458,DLG3,protein_coding
ENSG00000184489.15,Module 2,ENSG00000184489,PTP4A3,protein_coding
ENSG00000115825.13,Module 3,ENSG00000115825,PRKD3,protein_coding
ENSG00000188191.18,Module 2,ENSG00000188191,PRKAR1B,protein_coding
ENSG00000156711.19,Module 2,ENSG00000156711,MAPK13,protein_coding
ENSG00000114737.18,Module 2,ENSG00000114737,CISH,protein_coding
ENSG00000187446.14,Module 1,ENSG00000187446,CHP1,protein_coding
ENSG00000143156.16,Module 4,ENSG00000143156,NME7,protein_coding
ENSG00000147649.12,Module 2,ENSG00000147649,MTDH,protein_coding
ENSG00000075407.21,Module 2,ENSG00000075407,ZNF37A,protein_coding
ENSG00000137767.16,Module 2,ENSG00000137767,SQOR,protein_coding
ENSG00000130511.18,Module 2,ENSG00000130511,SSBP4,protein_coding
ENSG00000106211.12,Module 1,ENSG00000106211,HSPB1,protein_coding
ENSG00000110660.17,Module 4,ENSG00000110660,SLC35F2,protein_coding
ENSG00000143494.18,Module 6,ENSG00000143494,VASH2,protein_coding
ENSG00000168310.14,Module 3,ENSG00000168310,IRF2,protein_coding
ENSG00000085719.15,Module 1,ENSG00000085719,CPNE3,protein_coding
ENSG00000134864.13,Module 2,ENSG00000134864,GGACT,protein_coding
ENSG00000104611.14,Module 6,ENSG00000104611,SH2D4A,protein_coding
ENSG00000183943.8,Module 2,ENSG00000183943,PRKX,protein_coding
ENSG00000072110.19,Module 1,ENSG00000072110,ACTN1,protein_coding
ENSG00000128829.14,Module 2,ENSG00000128829,EIF2AK4,protein_coding
ENSG00000138119.19,Module 4,ENSG00000138119,MYOF,protein_coding
ENSG00000167123.22,Module 2,ENSG00000167123,CERCAM,protein_coding
ENSG00000198752.13,Module 2,ENSG00000198752,CDC42BPB,protein_coding
ENSG00000233922.5,Module 2,ENSG00000233922,LINC01694,lncRNA
ENSG00000134243.14,Module 4,ENSG00000134243,SORT1,protein_coding
ENSG00000132872.14,Module 2,ENSG00000132872,SYT4,protein_coding
ENSG00000110324.14,Module 2,ENSG00000110324,IL10RA,protein_coding
ENSG00000163040.17,Module 4,ENSG00000163040,CCDC74A,protein_coding
ENSG00000163219.13,Module 2,ENSG00000163219,ARHGAP25,protein_coding
ENSG00000081189.19,Module 3,ENSG00000081189,MEF2C,protein_coding
ENSG00000182459.6,Module 2,ENSG00000182459,TEX19,protein_coding
ENSG00000266094.10,Module 2,ENSG00000266094,RASSF5,protein_coding
ENSG00000106415.15,Module 3,ENSG00000106415,GLCCI1,protein_coding
ENSG00000139352.5,Module 2,ENSG00000139352,ASCL1,protein_coding
ENSG00000196975.18,Module 2,ENSG00000196975,ANXA4,protein_coding
ENSG00000117091.12,Module 1,ENSG00000117091,CD48,protein_coding
ENSG00000081320.14,Module 2,ENSG00000081320,STK17B,protein_coding
ENSG00000109756.12,Module 2,ENSG00000109756,RAPGEF2,protein_coding
ENSG00000139083.13,Module 2,ENSG00000139083,ETV6,protein_coding
ENSG00000188042.9,Module 2,ENSG00000188042,ARL4C,protein_coding
ENSG00000178163.10,Module 2,ENSG00000178163,ZNF518B,protein_coding
ENSG00000289906.2,Module 4,ENSG00000289906,LINC03024,lncRNA
ENSG00000120910.17,Module 4,ENSG00000120910,PPP3CC,protein_coding
ENSG00000100628.14,Module 4,ENSG00000100628,ASB2,protein_coding
ENSG00000148429.17,Module 2,ENSG00000148429,USP6NL,protein_coding
ENSG00000115548.19,Module 2,ENSG00000115548,KDM3A,protein_coding
ENSG00000142621.23,Module 2,ENSG00000142621,FHAD1,protein_coding
ENSG00000205189.14,Module 2,ENSG00000205189,ZBTB10,protein_coding
ENSG00000139793.23,Module 5,ENSG00000139793,MBNL2,protein_coding
ENSG00000117114.23,Module 1,ENSG00000117114,ADGRL2,protein_coding
ENSG00000185201.19,Module 2,ENSG00000185201,IFITM2,protein_coding
ENSG00000100139.16,Module 1,ENSG00000100139,MICALL1,protein_coding
ENSG00000110047.19,Module 3,ENSG00000110047,EHD1,protein_coding
ENSG00000185088.16,Module 2,ENSG00000185088,RPS27L,protein_coding
ENSG00000196862.10,Module 2,ENSG00000196862,RGPD4,protein_coding
ENSG00000054983.19,Module 2,ENSG00000054983,GALC,protein_coding
ENSG00000023902.15,Module 3,ENSG00000023902,PLEKHO1,protein_coding
ENSG00000152076.21,Module 4,ENSG00000152076,CCDC74B,protein_coding
ENSG00000115129.16,Module 2,ENSG00000115129,TP53I3,protein_coding
ENSG00000171033.15,Module 6,ENSG00000171033,PKIA,protein_coding
ENSG00000054392.15,Module 4,ENSG00000054392,HHAT,protein_coding
ENSG00000124788.19,Module 1,ENSG00000124788,ATXN1,protein_coding
ENSG00000162430.19,Module 1,ENSG00000162430,SELENON,protein_coding
ENSG00000132481.9,Module 2,ENSG00000132481,TRIM47,protein_coding
ENSG00000169504.17,Module 3,ENSG00000169504,CLIC4,protein_coding
ENSG00000169991.12,Module 5,ENSG00000169991,IFFO2,protein_coding
ENSG00000109113.22,Module 2,ENSG00000109113,RAB34,protein_coding
ENSG00000150995.22,Module 2,ENSG00000150995,ITPR1,protein_coding
ENSG00000067208.19,Module 2,ENSG00000067208,EVI5,protein_coding
ENSG00000186603.7,Module 5,ENSG00000186603,HPDL,protein_coding
ENSG00000085365.20,Module 3,ENSG00000085365,SCAMP1,protein_coding
ENSG00000170633.19,Module 2,ENSG00000170633,RNF34,protein_coding
ENSG00000184640.22,Module 5,ENSG00000184640,SEPTIN9,protein_coding
ENSG00000135679.29,Module 1,ENSG00000135679,MDM2,protein_coding
ENSG00000147570.12,Module 2,ENSG00000147570,DNAJC5B,protein_coding
ENSG00000134109.12,Module 2,ENSG00000134109,EDEM1,protein_coding
ENSG00000163659.15,Module 3,ENSG00000163659,TIPARP,protein_coding
ENSG00000017483.18,Module 3,ENSG00000017483,SLC38A5,protein_coding
ENSG00000060566.16,Module 1,ENSG00000060566,CREB3L3,protein_coding
ENSG00000144749.16,Module 1,ENSG00000144749,LRIG1,protein_coding
ENSG00000138080.16,Module 2,ENSG00000138080,EMILIN1,protein_coding
ENSG00000013619.17,Module 1,ENSG00000013619,MAMLD1,protein_coding
ENSG00000116096.9,Module 2,ENSG00000116096,SPR,protein_coding
ENSG00000146776.16,Module 2,ENSG00000146776,ATXN7L1,protein_coding
ENSG00000169508.9,Module 2,ENSG00000169508,GPR183,protein_coding
ENSG00000168243.13,Module 1,ENSG00000168243,GNG4,protein_coding
ENSG00000165030.7,Module 1,ENSG00000165030,NFIL3,protein_coding
ENSG00000100385.17,Module 4,ENSG00000100385,IL2RB,protein_coding
ENSG00000112679.16,Module 1,ENSG00000112679,DUSP22,protein_coding
ENSG00000148154.12,Module 2,ENSG00000148154,UGCG,protein_coding
ENSG00000178234.16,Module 2,ENSG00000178234,GALNT11,protein_coding
ENSG00000104043.17,Module 2,ENSG00000104043,ATP8B4,protein_coding
ENSG00000131370.18,Module 3,ENSG00000131370,SH3BP5,protein_coding
ENSG00000145945.9,Module 2,ENSG00000145945,FAM50B,protein_coding
ENSG00000177694.17,Module 2,ENSG00000177694,NAALADL2,protein_coding
ENSG00000171840.15,Module 5,ENSG00000171840,NINJ2,protein_coding
ENSG00000073578.20,Module 4,ENSG00000073578,SDHA,protein_coding
ENSG00000176788.11,Module 1,ENSG00000176788,BASP1,protein_coding
ENSG00000221926.15,Module 2,ENSG00000221926,TRIM16,protein_coding
ENSG00000169379.18,Module 2,ENSG00000169379,ARL13B,protein_coding
ENSG00000104213.15,Module 2,ENSG00000104213,PDGFRL,protein_coding
ENSG00000114480.15,Module 1,ENSG00000114480,GBE1,protein_coding
ENSG00000049089.17,Module 1,ENSG00000049089,COL9A2,protein_coding
ENSG00000218891.7,Module 1,ENSG00000218891,ZNF579,protein_coding
ENSG00000136842.16,Module 6,ENSG00000136842,TMOD1,protein_coding
ENSG00000169750.11,Module 4,ENSG00000169750,RAC3,protein_coding
ENSG00000175155.12,Module 2,ENSG00000175155,YPEL2,protein_coding
ENSG00000232119.10,Module 3,ENSG00000232119,MCTS1,protein_coding
ENSG00000123411.17,Module 2,ENSG00000123411,IKZF4,protein_coding
ENSG00000233276.10,Module 2,ENSG00000233276,GPX1,protein_coding
ENSG00000115738.12,Module 1,ENSG00000115738,ID2,protein_coding
ENSG00000162733.21,Module 6,ENSG00000162733,DDR2,protein_coding
ENSG00000291006.1,Module 2,ENSG00000291006,ENSG00000291006,lncRNA
ENSG00000204104.14,Module 4,ENSG00000204104,TRAF3IP1,protein_coding
ENSG00000049656.16,Module 4,ENSG00000049656,CLPTM1L,protein_coding
ENSG00000136040.10,Module 4,ENSG00000136040,PLXNC1,protein_coding
ENSG00000287597.1,Module 2,ENSG00000287597,ENSG00000287597,lncRNA
ENSG00000167799.12,Module 2,ENSG00000167799,NUDT8,protein_coding
ENSG00000151779.16,Module 4,ENSG00000151779,NBAS,protein_coding
ENSG00000173757.13,Module 2,ENSG00000173757,STAT5B,protein_coding
ENSG00000004866.24,Module 3,ENSG00000004866,ST7,protein_coding
ENSG00000051620.13,Module 3,ENSG00000051620,HEBP2,protein_coding
ENSG00000214279.14,Module 1,ENSG00000214279,SCART1,protein_coding
ENSG00000135052.18,Module 3,ENSG00000135052,GOLM1,protein_coding
ENSG00000308208.1,Module 6,ENSG00000308208,ENSG00000308208,lncRNA
ENSG00000171552.16,Module 2,ENSG00000171552,BCL2L1,protein_coding
ENSG00000213190.6,Module 4,ENSG00000213190,MLLT11,protein_coding
ENSG00000144843.14,Module 2,ENSG00000144843,ADPRH,protein_coding
ENSG00000168785.10,Module 4,ENSG00000168785,TSPAN5,protein_coding
ENSG00000183011.16,Module 2,ENSG00000183011,NAA38,protein_coding
ENSG00000130779.24,Module 2,ENSG00000130779,CLIP1,protein_coding
ENSG00000134285.13,Module 2,ENSG00000134285,FKBP11,protein_coding
ENSG00000115318.14,Module 6,ENSG00000115318,LOXL3,protein_coding
ENSG00000104880.20,Module 3,ENSG00000104880,ARHGEF18,protein_coding
ENSG00000165156.17,Module 3,ENSG00000165156,ZHX1,protein_coding
ENSG00000124766.7,Module 3,ENSG00000124766,SOX4,protein_coding
ENSG00000137806.12,Module 2,ENSG00000137806,NDUFAF1,protein_coding
ENSG00000054523.22,Module 3,ENSG00000054523,KIF1B,protein_coding
ENSG00000151917.20,Module 3,ENSG00000151917,BEND6,protein_coding
ENSG00000128311.16,Module 2,ENSG00000128311,TST,protein_coding
ENSG00000127603.33,Module 2,ENSG00000127603,MACF1,protein_coding
ENSG00000049246.17,Module 4,ENSG00000049246,PER3,protein_coding
ENSG00000237181.3,Module 2,ENSG00000237181,PRKAR1B-AS1,lncRNA
ENSG00000059378.15,Module 2,ENSG00000059378,PARP12,protein_coding
ENSG00000155111.17,Module 2,ENSG00000155111,CDK19,protein_coding
ENSG00000139926.18,Module 2,ENSG00000139926,FRMD6,protein_coding
ENSG00000198033.14,Module 4,ENSG00000198033,TUBA3C,protein_coding
ENSG00000104549.14,Module 4,ENSG00000104549,SQLE,protein_coding
ENSG00000083857.17,Module 2,ENSG00000083857,FAT1,protein_coding
ENSG00000142733.20,Module 2,ENSG00000142733,MAP3K6,protein_coding
ENSG00000065882.20,Module 1,ENSG00000065882,TBC1D1,protein_coding
ENSG00000113916.19,Module 2,ENSG00000113916,BCL6,protein_coding
ENSG00000106789.15,Module 3,ENSG00000106789,CORO2A,protein_coding
ENSG00000272405.1,Module 2,ENSG00000272405,ENSG00000272405,lncRNA
ENSG00000205593.14,Module 2,ENSG00000205593,DENND6B,protein_coding
ENSG00000279965.2,Module 2,ENSG00000279965,LINC03032,lncRNA
ENSG00000095794.22,Module 2,ENSG00000095794,CREM,protein_coding
ENSG00000153250.23,Module 2,ENSG00000153250,RBMS1,protein_coding
ENSG00000158747.17,Module 3,ENSG00000158747,NBL1,protein_coding
ENSG00000071246.12,Module 2,ENSG00000071246,VASH1,protein_coding
ENSG00000163214.23,Module 4,ENSG00000163214,DHX57,protein_coding
ENSG00000136153.23,Module 6,ENSG00000136153,LMO7,protein_coding
ENSG00000079263.21,Module 3,ENSG00000079263,SP140,protein_coding
ENSG00000084676.18,Module 4,ENSG00000084676,NCOA1,protein_coding
ENSG00000133935.9,Module 4,ENSG00000133935,ERG28,protein_coding
ENSG00000119042.20,Module 6,ENSG00000119042,SATB2,protein_coding
ENSG00000111885.9,Module 3,ENSG00000111885,MAN1A1,protein_coding
ENSG00000162694.16,Module 2,ENSG00000162694,EXTL2,protein_coding
ENSG00000237945.10,Module 3,ENSG00000237945,LINC00649,lncRNA
ENSG00000132563.19,Module 2,ENSG00000132563,REEP2,protein_coding
ENSG00000175745.15,Module 4,ENSG00000175745,NR2F1,protein_coding
ENSG00000090020.13,Module 2,ENSG00000090020,SLC9A1,protein_coding
ENSG00000136267.16,Module 2,ENSG00000136267,DGKB,protein_coding
ENSG00000117479.17,Module 4,ENSG00000117479,SLC19A2,protein_coding
ENSG00000111328.8,Module 2,ENSG00000111328,CDK2AP1,protein_coding
ENSG00000114541.17,Module 2,ENSG00000114541,FRMD4B,protein_coding
ENSG00000113580.17,Module 3,ENSG00000113580,NR3C1,protein_coding
ENSG00000178585.17,Module 4,ENSG00000178585,CTNNBIP1,protein_coding
ENSG00000141012.15,Module 3,ENSG00000141012,GALNS,protein_coding
ENSG00000137491.17,Module 4,ENSG00000137491,SLCO2B1,protein_coding
ENSG00000050628.23,Module 2,ENSG00000050628,PTGER3,protein_coding
ENSG00000158856.20,Module 2,ENSG00000158856,DMTN,protein_coding
ENSG00000162614.21,Module 5,ENSG00000162614,NEXN,protein_coding
ENSG00000067798.17,Module 2,ENSG00000067798,NAV3,protein_coding
ENSG00000164830.20,Module 3,ENSG00000164830,OXR1,protein_coding
ENSG00000164136.19,Module 2,ENSG00000164136,IL15,protein_coding
ENSG00000118640.13,Module 3,ENSG00000118640,VAMP8,protein_coding
ENSG00000169641.16,Module 1,ENSG00000169641,LUZP1,protein_coding
ENSG00000135362.16,Module 2,ENSG00000135362,PRR5L,protein_coding
ENSG00000234663.8,Module 4,ENSG00000234663,LINC01934,lncRNA
ENSG00000181830.11,Module 2,ENSG00000181830,SLC35C1,protein_coding
ENSG00000165434.10,Module 5,ENSG00000165434,PGM2L1,protein_coding
ENSG00000174871.12,Module 4,ENSG00000174871,CNIH2,protein_coding
ENSG00000160285.17,Module 4,ENSG00000160285,LSS,protein_coding
ENSG00000074370.21,Module 2,ENSG00000074370,ATP2A3,protein_coding
ENSG00000181577.17,Module 5,ENSG00000181577,LINC03040,protein_coding
ENSG00000166130.16,Module 2,ENSG00000166130,IKBIP,protein_coding
ENSG00000118308.18,Module 1,ENSG00000118308,IRAG2,protein_coding
ENSG00000188958.12,Module 6,ENSG00000188958,UTS2B,protein_coding
ENSG00000011143.21,Module 1,ENSG00000011143,MKS1,protein_coding
ENSG00000186367.7,Module 4,ENSG00000186367,MINAR2,protein_coding
ENSG00000172671.22,Module 2,ENSG00000172671,ZFAND4,protein_coding
ENSG00000175215.12,Module 3,ENSG00000175215,CTDSP2,protein_coding
ENSG00000235531.12,Module 6,ENSG00000235531,MSC-AS1,lncRNA
ENSG00000230537.3,Module 2,ENSG00000230537,LINC02937,lncRNA
ENSG00000026508.23,Module 2,ENSG00000026508,CD44,protein_coding
ENSG00000133818.16,Module 2,ENSG00000133818,RRAS2,protein_coding
ENSG00000184371.16,Module 1,ENSG00000184371,CSF1,protein_coding
ENSG00000211592.8,Module 3,ENSG00000211592,IGKC,IG_C_gene
ENSG00000105327.20,Module 1,ENSG00000105327,BBC3,protein_coding
ENSG00000288920.3,Module 1,ENSG00000288920,RPSA2,protein_coding
ENSG00000108176.17,Module 2,ENSG00000108176,DNAJC12,protein_coding
ENSG00000122122.11,Module 2,ENSG00000122122,SASH3,protein_coding
ENSG00000179841.9,Module 3,ENSG00000179841,AKAP5,protein_coding
ENSG00000121895.11,Module 5,ENSG00000121895,TMEM156,protein_coding
ENSG00000135631.19,Module 1,ENSG00000135631,RAB11FIP5,protein_coding
ENSG00000105122.15,Module 2,ENSG00000105122,RASAL3,protein_coding
ENSG00000102226.12,Module 2,ENSG00000102226,USP11,protein_coding
ENSG00000154822.20,Module 3,ENSG00000154822,PLCL2,protein_coding
ENSG00000177853.17,Module 2,ENSG00000177853,ZNF518A,protein_coding
ENSG00000138796.20,Module 4,ENSG00000138796,HADH,protein_coding
ENSG00000066629.21,Module 4,ENSG00000066629,EML1,protein_coding
ENSG00000115919.17,Module 2,ENSG00000115919,KYNU,protein_coding
ENSG00000085117.15,Module 2,ENSG00000085117,CD82,protein_coding
