representative_ID,module,representative_term,representative_score,p.adjust,Count,GeneRatio,status,minus_log10_padj
GO:0046631,Module 2,alpha-beta T cell activation,6.549661643091685,2.820579576516963e-7,44,44/1244,Significant,6.549661643091685
GO:0046631,Module 3,alpha-beta T cell activation,6.549661643091685,NA,NA,NA,NS,NA
GO:0046631,Module 4,alpha-beta T cell activation,6.549661643091685,NA,NA,NA,NS,NA
GO:0046631,Module 5,alpha-beta T cell activation,6.549661643091685,0.0015011455135914755,60,60/899,Significant,2.823577207365804
GO:0046631,Module 6,alpha-beta T cell activation,6.549661643091685,NA,NA,NA,NS,NA
GO:0001501,Module 1,skeletal system development,6.452094950155715,3.53105961508725e-7,68,68/1068,Significant,6.452094950155715
GO:0001501,Module 2,skeletal system development,6.452094950155715,NA,NA,NA,NS,NA
GO:0001501,Module 3,skeletal system development,6.452094950155715,0.00866034442751866,14,14/561,Significant,2.0624648354657684
GO:0001501,Module 4,skeletal system development,6.452094950155715,NA,NA,NA,NS,NA
GO:0001501,Module 5,skeletal system development,6.452094950155715,NA,NA,NA,NS,NA
GO:0001501,Module 6,skeletal system development,6.452094950155715,NA,NA,NA,NS,NA
GO:0032944,Module 1,regulation of mononuclear cell proliferation,5.018884526429041,5.166359211294297e-4,37,37/1068,Significant,3.286815401093509
GO:0032944,Module 2,regulation of mononuclear cell proliferation,5.018884526429041,9.574486112850794e-6,45,45/1244,Significant,5.018884526429041
GO:0032944,Module 3,regulation of mononuclear cell proliferation,5.018884526429041,NA,NA,NA,NS,NA
GO:0032944,Module 4,regulation of mononuclear cell proliferation,5.018884526429041,NA,NA,NA,NS,NA
GO:0032944,Module 5,regulation of mononuclear cell proliferation,5.018884526429041,NA,NA,NA,NS,NA
GO:0032944,Module 6,regulation of mononuclear cell proliferation,5.018884526429041,0.019309516796406755,29,29/480,Significant,1.7142285939202349
GO:0019221,Module 1,cytokine-mediated signaling pathway,4.97681330536731,4.0455489894475013e-4,56,56/1068,Significant,3.3930225353842958
GO:0019221,Module 2,cytokine-mediated signaling pathway,4.97681330536731,1.0548402539613397e-5,70,70/1244,Significant,4.97681330536731
GO:0019221,Module 3,cytokine-mediated signaling pathway,4.97681330536731,NA,NA,NA,NS,NA
GO:0019221,Module 4,cytokine-mediated signaling pathway,4.97681330536731,NA,NA,NA,NS,NA
GO:0019221,Module 5,cytokine-mediated signaling pathway,4.97681330536731,0.012726657067712598,16,16/899,Significant,1.8952856582241693
GO:0019221,Module 6,cytokine-mediated signaling pathway,4.97681330536731,NA,NA,NA,NS,NA
GO:0045055,Module 1,regulated exocytosis,4.926503232539097,0.0029615988003287106,49,49/1068,Significant,2.5284737745132153
GO:0045055,Module 2,regulated exocytosis,4.926503232539097,1.1843955512757297e-5,42,42/1244,Significant,4.926503232539097
GO:0045055,Module 3,regulated exocytosis,4.926503232539097,NA,NA,NA,NS,NA
GO:0045055,Module 4,regulated exocytosis,4.926503232539097,NA,NA,NA,NS,NA
GO:0045055,Module 5,regulated exocytosis,4.926503232539097,0.013372689190264856,13,13/899,Significant,1.8737812492036057
GO:0045055,Module 6,regulated exocytosis,4.926503232539097,NA,NA,NA,NS,NA
GO:0050890,Module 1,cognition,4.592043989082484,2.558326744433213e-5,42,42/1068,Significant,4.592043989082484
GO:0050890,Module 2,cognition,4.592043989082484,4.656545551303616e-4,14,14/1244,Significant,3.3319361443287216
GO:0050890,Module 3,cognition,4.592043989082484,NA,NA,NA,NS,NA
GO:0050890,Module 4,cognition,4.592043989082484,NA,NA,NA,NS,NA
GO:0050890,Module 5,cognition,4.592043989082484,NA,NA,NA,NS,NA
GO:0050890,Module 6,cognition,4.592043989082484,0.04157349376447868,31,31/480,Significant,1.3811834766033404
GO:0001819,Module 1,positive regulation of cytokine production,4.4176221972876695,0.020231294588478527,21,21/1068,Significant,1.6939763260950524
GO:0001819,Module 2,positive regulation of cytokine production,4.4176221972876695,3.8227667746839835e-5,69,69/1244,Significant,4.4176221972876695
GO:0001819,Module 3,positive regulation of cytokine production,4.4176221972876695,NA,NA,NA,NS,NA
GO:0001819,Module 4,positive regulation of cytokine production,4.4176221972876695,NA,NA,NA,NS,NA
GO:0001819,Module 5,positive regulation of cytokine production,4.4176221972876695,7.750033044513845e-4,52,52/899,Significant,3.1106964457492476
GO:0001819,Module 6,positive regulation of cytokine production,4.4176221972876695,NA,NA,NA,NS,NA
GO:0030335,Module 1,positive regulation of cell migration,4.254066160716712,5.5710087334119456e-5,65,65/1068,Significant,4.254066160716712
GO:0030335,Module 2,positive regulation of cell migration,4.254066160716712,0.0010007176648995177,71,71/1244,Significant,2.9996884338809497
GO:0030335,Module 3,positive regulation of cell migration,4.254066160716712,NA,NA,NA,NS,NA
GO:0030335,Module 4,positive regulation of cell migration,4.254066160716712,NA,NA,NA,NS,NA
GO:0030335,Module 5,positive regulation of cell migration,4.254066160716712,1.303981383947882e-4,37,37/899,Significant,3.8847286086857094
GO:0030335,Module 6,positive regulation of cell migration,4.254066160716712,NA,NA,NA,NS,NA
GO:0043087,Module 1,regulation of GTPase activity,3.8847286086857094,0.0021777641625840786,9,9/1068,Significant,2.661989153246002
GO:0043087,Module 2,regulation of GTPase activity,3.8847286086857094,NA,NA,NA,NS,NA
GO:0043087,Module 3,regulation of GTPase activity,3.8847286086857094,NA,NA,NA,NS,NA
GO:0043087,Module 4,regulation of GTPase activity,3.8847286086857094,NA,NA,NA,NS,NA
GO:0043087,Module 5,regulation of GTPase activity,3.8847286086857094,1.303981383947882e-4,40,40/899,Significant,3.8847286086857094
GO:0043087,Module 6,regulation of GTPase activity,3.8847286086857094,NA,NA,NA,NS,NA
GO:0050900,Module 1,leukocyte migration,3.278745955465918,0.0015810398954701533,11,11/1068,Significant,2.80105717107732
GO:0050900,Module 2,leukocyte migration,3.278745955465918,0.005792772541401781,46,46/1244,Significant,2.23711352414266
GO:0050900,Module 3,leukocyte migration,3.278745955465918,NA,NA,NA,NS,NA
GO:0050900,Module 4,leukocyte migration,3.278745955465918,NA,NA,NA,NS,NA
GO:0050900,Module 5,leukocyte migration,3.278745955465918,5.263250550206041e-4,42,42/899,Significant,3.278745955465918
GO:0050900,Module 6,leukocyte migration,3.278745955465918,NA,NA,NA,NS,NA
GO:0009617,Module 1,response to bacterium,3.1106964457492476,0.003977051850709642,58,58/1068,Significant,2.4004387468741433
GO:0009617,Module 2,response to bacterium,3.1106964457492476,0.0019515761464207943,68,68/1244,Significant,2.709614498789497
GO:0009617,Module 3,response to bacterium,3.1106964457492476,NA,NA,NA,NS,NA
GO:0009617,Module 4,response to bacterium,3.1106964457492476,NA,NA,NA,NS,NA
GO:0009617,Module 5,response to bacterium,3.1106964457492476,7.750033044513845e-4,57,57/899,Significant,3.1106964457492476
GO:0009617,Module 6,response to bacterium,3.1106964457492476,NA,NA,NA,NS,NA
GO:0071805,Module 1,potassium ion transmembrane transport,2.9313097135084325,0.024122698360465298,38,38/1068,Significant,1.6175741137161934
GO:0071805,Module 2,potassium ion transmembrane transport,2.9313097135084325,0.0014964652675735917,7,7/1244,Significant,2.8249333585272174
GO:0071805,Module 3,potassium ion transmembrane transport,2.9313097135084325,NA,NA,NA,NS,NA
GO:0071805,Module 4,potassium ion transmembrane transport,2.9313097135084325,0.001171359722144982,20,20/551,Significant,2.9313097135084325
GO:0071805,Module 5,potassium ion transmembrane transport,2.9313097135084325,NA,NA,NA,NS,NA
GO:0071805,Module 6,potassium ion transmembrane transport,2.9313097135084325,NA,NA,NA,NS,NA
GO:0060021,Module 1,roof of mouth development,1.5827722901216068,NA,NA,NA,NS,NA
GO:0060021,Module 2,roof of mouth development,1.5827722901216068,NA,NA,NA,NS,NA
GO:0060021,Module 3,roof of mouth development,1.5827722901216068,0.026135313255443545,12,12/561,Significant,1.5827722901216068
GO:0060021,Module 4,roof of mouth development,1.5827722901216068,NA,NA,NA,NS,NA
GO:0060021,Module 5,roof of mouth development,1.5827722901216068,NA,NA,NA,NS,NA
GO:0060021,Module 6,roof of mouth development,1.5827722901216068,NA,NA,NA,NS,NA
